iter	Logloss
0	0.6901835632
1	0.6871155548
2	0.6842542267
3	0.6802844238
4	0.6773388672
5	0.673852005
6	0.6705114746
7	0.6679039001
8	0.6659518433
9	0.6628859711
10	0.6599516296
11	0.6570681
12	0.6544463348
13	0.6515988159
14	0.6493296814
15	0.6461209106
16	0.6435626984
17	0.6412161255
18	0.6390335083
19	0.6362950134
20	0.6338916779
21	0.6313249207
22	0.6291677856
23	0.62640625
24	0.6246942902
25	0.6225175476
26	0.620978508
27	0.6189154816
28	0.6166455841
29	0.6146980286
30	0.6127768326
31	0.6103491974
32	0.6085160065
33	0.6070663452
34	0.6056878281
35	0.6041168976
36	0.6025418091
37	0.6005890656
38	0.5982813263
39	0.5960403442
40	0.5941499329
41	0.5931684113
42	0.5911623383
43	0.5898470688
44	0.5882536316
45	0.5875635147
46	0.5862649155
47	0.5847388458
48	0.583616333
49	0.5823049164
50	0.5815001678
51	0.5798193359
52	0.5779851532
53	0.5763485718
54	0.5749990082
55	0.5737212753
56	0.5723464966
57	0.5711038589
58	0.5699113464
59	0.5687911224
60	0.5676364899
61	0.5661281967
62	0.5644612503
63	0.563213501
64	0.5619582367
65	0.5608535004
66	0.559382782
67	0.5575299835
68	0.5563364792
69	0.5551736832
70	0.5538532257
71	0.5525226593
72	0.5509452057
73	0.5499079514
74	0.5485687256
75	0.5473429108
76	0.5464643097
77	0.5449977112
78	0.5440762711
79	0.5433651733
80	0.5420347595
81	0.5412280273
82	0.5406932831
83	0.5394937134
84	0.5387045288
85	0.5376425171
86	0.5367414093
87	0.5358354187
88	0.5348085022
89	0.5332715988
90	0.5319006729
91	0.5312931824
92	0.5302232361
93	0.5294468307
94	0.5287245941
95	0.5275971222
96	0.5265464401
97	0.525555954
98	0.5246956635
99	0.5238475037
100	0.5232106781
101	0.5222665405
102	0.5215421295
103	0.5205298615
104	0.5198217392
105	0.5186048508
106	0.5179188538
107	0.5166919708
108	0.5158469772
109	0.5153146362
110	0.5146293259
111	0.5138233948
112	0.5133358765
113	0.5125948715
114	0.511791153
115	0.5106671524
116	0.5097114563
117	0.5088076782
118	0.507962532
119	0.5071800995
120	0.5063631439
121	0.5052412415
122	0.5045890045
123	0.5039752197
124	0.503485527
125	0.5028037643
126	0.5020334244
127	0.5012563324
128	0.5004029465
129	0.4999208069
130	0.4992521667
131	0.4987017059
132	0.4978314209
133	0.4971645355
134	0.4963461685
135	0.4959249878
136	0.4951223755
137	0.4942481613
138	0.493603363
139	0.4928875732
140	0.4921244812
141	0.4916638184
142	0.4909796143
143	0.4904674149
144	0.4898640823
145	0.4892630005
146	0.4885360718
147	0.4879647827
148	0.4872066498
149	0.4866228485
150	0.4856311798
151	0.4852474976
152	0.4844778442
153	0.4839654541
154	0.483338623
155	0.4827350998
156	0.4820793533
157	0.4813274384
158	0.4809899902
159	0.4803973389
160	0.4798847961
161	0.4792436218
162	0.4787052917
163	0.4779064178
164	0.4773522186
165	0.476834259
166	0.4764320755
167	0.4757660294
168	0.4750800323
169	0.4747564316
170	0.4740447998
171	0.4734324646
172	0.4727991486
173	0.4723357391
174	0.4717182922
175	0.471292572
176	0.4707130432
177	0.4700914764
178	0.4695548248
179	0.4689689636
180	0.4686161804
181	0.4680794144
182	0.4677581787
183	0.4674066162
184	0.46658535
185	0.4658694077
186	0.4653408051
187	0.4649420929
188	0.4644643784
189	0.4640093994
190	0.4636468506
191	0.463307724
192	0.4627639389
193	0.4622568512
194	0.4616312408
195	0.4610922623
196	0.4603114319
197	0.4597989655
198	0.4592282104
199	0.4588528442
200	0.4582335663
201	0.4575359726
202	0.4570396042
203	0.4563877869
204	0.4559856415
205	0.4555567169
206	0.4552223969
207	0.4547023773
208	0.4538582993
209	0.4533222961
210	0.4526729202
211	0.4521697235
212	0.4516540909
213	0.4509952927
214	0.4505220795
215	0.4499288177
216	0.4493249512
217	0.4486925507
218	0.4481307602
219	0.4474594879
220	0.4469184875
221	0.4468148422
222	0.4464494324
223	0.4459893799
224	0.4455667114
225	0.4450548553
226	0.4446971893
227	0.444339447
228	0.4438259506
229	0.443454895
230	0.4428924561
231	0.4423140717
232	0.4419216537
233	0.4416867065
234	0.4413143158
235	0.4407299805
236	0.4400631714
237	0.4396062851
238	0.4392511749
239	0.4387999725
240	0.4385958481
241	0.4382518005
242	0.4377801514
243	0.4371875763
244	0.4368103027
245	0.436566124
246	0.4361427307
247	0.4354947281
248	0.4350539398
249	0.4347949219
250	0.4343416595
251	0.4338986206
252	0.4330406189
253	0.4326558685
254	0.4323399353
255	0.4318362427
256	0.4314557648
257	0.4310827637
258	0.4307011795
259	0.4303154755
260	0.4296257401
261	0.4293103409
262	0.4288332367
263	0.4285083389
264	0.4281349182
265	0.4277749252
266	0.4274343872
267	0.4271078491
268	0.4266184998
269	0.4263170624
270	0.4259876251
271	0.4256121445
272	0.4252019501
273	0.4249185944
274	0.4246636963
275	0.4241479492
276	0.4238363266
277	0.4235384369
278	0.4232352829
279	0.42295784
280	0.4225216675
281	0.4221406555
282	0.4214813614
283	0.4211653137
284	0.4208633423
285	0.4204876709
286	0.4201884842
287	0.4200358582
288	0.4197649002
289	0.41937603
290	0.4189203644
291	0.4182035065
292	0.4178752136
293	0.4176126862
294	0.4174231339
295	0.4171396255
296	0.4168751526
297	0.4165412903
298	0.4161261749
299	0.4158117676
300	0.4154368973
301	0.41520401
302	0.4148692703
303	0.414589119
304	0.4142347717
305	0.4138861847
306	0.4137261963
307	0.4133410263
308	0.4128861237
309	0.4124865723
310	0.4121716309
311	0.4119392014
312	0.4113931274
313	0.4110032272
314	0.4104355621
315	0.4101160049
316	0.4098113251
317	0.4094881821
318	0.4090985107
319	0.4087831497
320	0.4083863068
321	0.4077946854
322	0.4073797226
323	0.4073171234
324	0.4071892166
325	0.4066886902
326	0.4062118149
327	0.4057464218
328	0.4054050446
329	0.4051762009
330	0.405014267
331	0.4047512817
332	0.40447258
333	0.4040523911
334	0.4036936188
335	0.4033930969
336	0.4029249954
337	0.402491684
338	0.4021367264
339	0.4017731476
340	0.4014618683
341	0.4011316299
342	0.400802803
343	0.4004826355
344	0.4003515244
345	0.3999016571
346	0.3996998596
347	0.3994338226
348	0.3992036819
349	0.3988275909
350	0.3984733963
351	0.3980634308
352	0.3977991486
353	0.3974701309
354	0.3970690155
355	0.3966350937
356	0.3965695953
357	0.3963064575
358	0.3960237122
359	0.3955088806
360	0.3950583649
361	0.3946831894
362	0.3943182755
363	0.3940538025
364	0.3936352539
365	0.3932514191
366	0.3929433441
367	0.3927585602
368	0.3923286057
369	0.3920014572
370	0.3916997528
371	0.391465683
372	0.3912988663
373	0.3908406448
374	0.3904090118
375	0.3901479721
376	0.3897282791
377	0.3895815277
378	0.389211731
379	0.389068985
380	0.3887649536
381	0.3886537552
382	0.3883992004
383	0.3882198334
384	0.3879562378
385	0.3876328278
386	0.3871809006
387	0.3868653107
388	0.3864372253
389	0.3861117554
390	0.3858967209
391	0.3858282471
392	0.3854125977
393	0.3851755524
394	0.3848848724
395	0.3846316528
396	0.3842687225
397	0.38396595
398	0.3836018372
399	0.3832008362
400	0.3829410172
401	0.3825382233
402	0.3822560883
403	0.3819287491
404	0.3816913223
405	0.3814580536
406	0.3810881042
407	0.3807372284
408	0.3802293396
409	0.3799463654
410	0.3798402405
411	0.3793293762
412	0.3790089417
413	0.3788330078
414	0.3784273529
415	0.3781754684
416	0.3778400421
417	0.377539444
418	0.3771827316
419	0.3769403839
420	0.3768902588
421	0.3766183472
422	0.376366272
423	0.3759351349
424	0.3756486511
425	0.3753497314
426	0.3751089478
427	0.3750073242
428	0.3747792816
429	0.3744412231
430	0.3742454529
431	0.3741041183
432	0.3736830139
433	0.3733940125
434	0.3730128479
435	0.3727576447
436	0.372433815
437	0.3722937012
438	0.3721028519
439	0.3719540024
440	0.3715498352
441	0.3713492584
442	0.3710933685
443	0.370841217
444	0.3705947876
445	0.3703725052
446	0.3701307678
447	0.3697707748
448	0.3695010376
449	0.3692617416
450	0.368995018
451	0.3687555695
452	0.3684229279
453	0.3680804443
454	0.3676609802
455	0.3672629547
456	0.3670406342
457	0.3668633652
458	0.366579628
459	0.3662311554
460	0.3658744812
461	0.3655664825
462	0.3653981018
463	0.365041008
464	0.3648008728
465	0.3644870758
466	0.3644007111
467	0.3640874481
468	0.3638769913
469	0.3634140015
470	0.3630832672
471	0.3628985977
472	0.3624339294
473	0.3621637726
474	0.3619058228
475	0.3615576172
476	0.3612407303
477	0.3608673859
478	0.3605351639
479	0.360230751
480	0.3600407028
481	0.3597507477
482	0.3595516968
483	0.3592437363
484	0.3590294647
485	0.3585616684
486	0.3581884003
487	0.3578469086
488	0.3574472809
489	0.357238884
490	0.3570400238
491	0.3567843628
492	0.3564374161
493	0.3561193466
494	0.3559257889
495	0.3557140732
496	0.355394783
497	0.3551313782
498	0.3548021698
