kernel,num_clf_dim,epsilon,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,svm_roc_auc,roc_auc_catboost
linear,541,1.0,0.8225730994152046,0.9902923976608186,0.992280701754386,[0.4 0.6],0.9960233918128655,0.9953216374269005
linear,781,0.5972533077885406,0.48696051423324144,0.6471074380165289,0.6528007346189165,[5.59652948e-01 6.80533793e+02],0.6642791551882461,0.6497704315886134
linear,1000,0.001,0.6279600913571344,0.5194734944103858,0.6317466041591537,[0.89912111 0.1       ],0.7936651039788437,0.8260608246183435
