kernel,num_clf_dim,epsilon,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,frocc_positive_roc_auc_optimized,frocc_negative_roc_auc_optimized,combined_roc_auc_optimized,combined_weights_optimized,svm_roc_auc,roc_auc_catboost
linear,462,0.3343749025278829,0.5887719298245615,0.043625730994152054,0.5280701754385965,[6.59692515e+02 5.52175857e-01],0.831345029239766,0.16830409356725148,0.8037426900584795,[2959.20128667    5.65964321],0.9960233918128655,0.9953216374269005
linear,468,0.3054549631858124,0.49311294765840225,0.5009182736455464,0.49467401285583096,[0.09990239 6.91799818],0.6012855831037649,0.6242424242424243,0.657208448117539,[0.3 0.7],0.6642791551882461,0.6497704315886134
linear,1000,0.7002703366611925,0.5272268301478543,0.4462675802380094,0.5160476018752254,[343.18734235   0.50331611],0.6186440677966102,0.6267580238009377,0.6721360740473616,[0.7 0.3],0.7934847938454141,0.8260608246183435
