kernel,num_clf_dim,epsilon,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,frocc_positive_roc_auc_optimized,frocc_negative_roc_auc_optimized,combined_roc_auc_optimized,combined_weights_optimized,svm_roc_auc,roc_auc_catboost
linear,873,0.2952238470616623,0.42077175697865354,0.5092364532019704,0.5053366174055829,[ 0.49950901 81.20935862],0.568144499178982,0.6360837438423647,0.6475779967159278,[0.3 0.7],0.590311986863711,0.590311986863711
linear,781,0.5972533077885406,0.44325000000000003,0.38275000000000003,0.42975,[393.71600015   0.49952162],0.60225,0.50125,0.61225,[0.7 0.3],0.75675,0.7482500000000001
linear,462,0.3343749025278829,0.46836734693877546,0.388265306122449,0.44132653061224486,[1.93983061e+03 5.00000000e-01],0.7326530612244897,0.7010204081632653,0.7969387755102042,[4.99757155e-01 8.02981633e+02],0.5,0.5
linear,781,0.5972533077885406,0.59375,0.5256944444444444,0.601736111111111,[0.79954173 0.20020834],0.7220486111111111,0.648611111111111,0.7628472222222222,[0.7 0.3],0.9190972222222222,0.9083333333333333
linear,311,0.9998059762653053,0.5322633475270226,0.4403865050769735,0.5255486406812971,[343.95758289   0.51722305],0.6690140845070423,0.5899115623976416,0.6891582050442188,[0.7 0.3],0.7759580740255486,0.6061251228300033
linear,462,0.3343749025278829,0.5283524904214559,0.43505747126436783,0.5149425287356322,[201.37662853   0.50105593],0.6672413793103448,0.613984674329502,0.7162835249042145,[0.3 0.7],0.6720306513409962,0.6383141762452107
linear,781,0.5972533077885406,0.5503151260504202,0.4952731092436975,0.5553571428571429,[83.10840373  0.49967158],0.6868697478991597,0.6239495798319329,0.7114495798319327,[0.7 0.3],0.9098739495798319,0.909873949579832
linear,449,0.1008749409021849,0.510877192982456,0.046081871345029245,0.43766081871345025,[5.06350672e+02 4.85132924e-01],0.8032748538011696,0.16526315789473683,0.7567251461988304,[3166.15707614   22.55883795],0.9960233918128655,0.9953216374269005
linear,130,0.5056145761991127,0.5417364266921789,0.4187993303037551,0.529179622099976,[486.41628804   0.49978887],0.606673044726142,0.5302559196364506,0.6136091844056447,[0.49885488 0.49909676],0.6120545324085147,0.6383640277445587
linear,469,0.3402809259715878,0.5274563820018366,0.42157943067033976,0.5089990817263544,[8.67047437e+02 4.84464503e-01],0.6379247015610652,0.5223140495867769,0.6369146005509642,[0.7 0.3],0.6643709825528006,0.6497704315886134
linear,954,0.6133834246369019,0.4835820895522388,0.42447761194029854,0.4674029850746269,[4.31260564 0.59942107],0.5968358208955225,0.5407164179104478,0.6224477611940298,[0.7 0.3],0.9983283582089553,1.0
linear,1000,0.9720831223604753,0.533477581440077,0.5151460512080779,0.5274071402812839,[142.30165888   0.49972133],0.615458588772689,0.6221300637095805,0.6765837240052891,[0.7 0.3],0.7937252073566534,0.8260608246183435
